erle_db,erle_inst_db,erle_window_db,snr_in_db,snr_out_db,dtd_active,frame_index,beamformer_enabled,beamformer_algorithm,aec_enabled,aec_algorithm,nr_enabled,nr_algorithm
NaN,NaN,NaN,-13.0055770415262,-13.0055770415262,0,82,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8565871377693,-12.8565871377693,0,83,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0077973024072,-13.0077973024072,0,84,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9148194306556,-12.9148194306556,0,85,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8993222365075,-12.8993222365075,0,86,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9826373417186,-12.9826373417186,0,87,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9201138646205,-12.9201138646205,0,88,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.977899098053,-12.977899098053,0,89,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7909481248329,-12.7909481248329,0,90,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9315026673072,-12.9315026673072,0,91,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9958241353136,-12.9958241353136,0,92,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.846656781688,-12.846656781688,0,93,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8583806800953,-12.8583806800953,0,94,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0643819956193,-13.0643819956193,0,95,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9384024946578,-12.9384024946578,0,96,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0814974177859,-13.0814974177859,0,97,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9852266081801,-12.9852266081801,0,98,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9956514025925,-12.9956514025925,0,99,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8448779032166,-12.8448779032166,0,100,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9214808334886,-12.9214808334886,0,101,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0063948128839,-13.0063948128839,0,102,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8811948595271,-12.8811948595271,0,103,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8214293102574,-12.8214293102574,0,104,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8103964300891,-12.8103964300891,0,105,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9165251494864,-12.9165251494864,0,106,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0593958353806,-13.0593958353806,0,107,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9075264043808,-12.9075264043808,0,108,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9933821377442,-12.9933821377442,0,109,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9244631364078,-12.9244631364078,0,110,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8042982385158,-12.8042982385158,0,111,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0262494270777,-13.0262494270777,0,112,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8810931379205,-12.8810931379205,0,113,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9752504311212,-12.9752504311212,0,114,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8058580019896,-12.8058580019896,0,115,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9872095838686,-12.9872095838686,0,116,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9759030616055,-12.9759030616055,0,117,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7060190189914,-12.7060190189914,0,118,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8829179716079,-12.8829179716079,0,119,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9142511078488,-12.9142511078488,0,120,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8951802206166,-12.8951802206166,0,121,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8910954207368,-12.8910954207368,0,122,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7218373806174,-12.7218373806174,0,123,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0103560943289,-13.0103560943289,0,124,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9610376583282,-12.9610376583282,0,125,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9210993112863,-12.9210993112863,0,126,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.879746818889,-12.879746818889,0,127,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9407958608307,-12.9407958608307,0,128,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9490183218095,-12.9490183218095,0,129,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9639099546972,-12.9639099546972,0,130,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9856893022589,-12.9856893022589,0,131,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9421378534866,-12.9421378534866,0,132,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8387056450841,-12.8387056450841,0,133,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8912737849509,-12.8912737849509,0,134,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9340321122354,-12.9340321122354,0,135,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8730594781124,-12.8730594781124,0,136,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0340457822344,-13.0340457822344,0,137,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8647418662134,-12.8647418662134,0,138,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0851375509868,-13.0851375509868,0,139,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8802809424754,-12.8802809424754,0,140,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9403186200995,-12.9403186200995,0,141,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0247562962996,-13.0247562962996,0,142,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9028360928083,-12.9028360928083,0,143,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.1013348907625,-13.1013348907625,0,144,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.965158921408,-12.965158921408,0,145,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9505115851423,-12.9505115851423,0,146,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0492479808584,-13.0492479808584,0,147,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9339849726499,-12.9339849726499,0,148,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8958306567646,-12.8958306567646,0,149,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9632239842451,-12.9632239842451,0,150,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.870889990015,-12.870889990015,0,151,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0077958752044,-13.0077958752044,0,152,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.956458993498,-12.956458993498,0,153,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0421858753489,-13.0421858753489,0,154,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0207959946889,-13.0207959946889,0,155,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.1058157834903,-13.1058157834903,0,156,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8852316491477,-12.8852316491477,0,157,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7019183280397,-12.7019183280397,0,158,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0403452327983,-13.0403452327983,0,159,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9549596113381,-12.9549596113381,0,160,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8666138768525,-12.8666138768525,0,161,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9347815672372,-12.9347815672372,0,162,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9520898875861,-12.9520898875861,0,163,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9504119876272,-12.9504119876272,0,164,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9025510965454,-12.9025510965454,0,165,0,das,0,nlms,0,traditional
